year_interval,book,image_weight
1550-1569,http://sphaera.mpiwg-berlin.mpg.de/id/item/01f9af0a-2897-4249-b9e8-b61257f41dfb,10
1550-1569,http://sphaera.mpiwg-berlin.mpg.de/id/item/0c9a708f-b9c4-4c3e-a54f-2e0d4860f100,10
1550-1569,http://sphaera.mpiwg-berlin.mpg.de/id/item/1ee6100e-c830-49da-8713-977fbef01c31,10
1550-1569,http://sphaera.mpiwg-berlin.mpg.de/id/item/21e629e9-89b5-4609-8c34-733a8da34482,10
1550-1569,http://sphaera.mpiwg-berlin.mpg.de/id/item/451f4882-f133-4c14-a9b1-330ab1066271,10
1550-1569,http://sphaera.mpiwg-berlin.mpg.de/id/item/6513e6a9-0a29-42e3-8898-c53aaacfac09,10
1550-1569,http://sphaera.mpiwg-berlin.mpg.de/id/item/7e393498-6bab-4f25-9112-b48a464621dc,10
1550-1569,http://sphaera.mpiwg-berlin.mpg.de/id/item/afd94239-7b72-4efb-a2ef-f1b538f5c833,10
1550-1569,http://sphaera.mpiwg-berlin.mpg.de/id/item/c1dc7411-871d-4821-acbd-e045e5b233da,10
1550-1569,http://sphaera.mpiwg-berlin.mpg.de/id/item/c5a7404b-526c-4b51-ae9b-01d4f67171ff,10
1550-1569,http://sphaera.mpiwg-berlin.mpg.de/id/item/cf2b243d-dae0-47d2-8791-e9fc7b407ff1,10
1550-1569,http://sphaera.mpiwg-berlin.mpg.de/id/item/e3326d18-38d0-45d3-b1f5-a58bee84a724,10
1550-1569,http://sphaera.mpiwg-berlin.mpg.de/id/item/36ab6415-d64d-4b2c-8932-3c0a033942a3,9
1550-1569,http://sphaera.mpiwg-berlin.mpg.de/id/item/c2ed439a-fc1f-4255-b80f-025659dc5f5a,9
1550-1569,http://sphaera.mpiwg-berlin.mpg.de/id/item/2f3386ba-5004-45cc-8b22-6d8835f13d04,8
1550-1569,http://sphaera.mpiwg-berlin.mpg.de/id/item/30d49718-7659-48be-b551-d6ad8829a30b,8
1550-1569,http://sphaera.mpiwg-berlin.mpg.de/id/item/3198d85e-e0e5-44c0-9966-9abbdaca5263,8
1550-1569,http://sphaera.mpiwg-berlin.mpg.de/id/item/760d9611-6e6a-4f57-93e3-6f4df7cc4f89,8
1550-1569,http://sphaera.mpiwg-berlin.mpg.de/id/item/8468d60b-42ec-43d4-b8a9-e973e103d999,8
1550-1569,http://sphaera.mpiwg-berlin.mpg.de/id/item/9b9b678f-3257-48fb-9306-85d960e15f74,8
1550-1569,http://sphaera.mpiwg-berlin.mpg.de/id/item/aee993aa-9ac6-4a84-8f64-71a56edc9768,8
1550-1569,http://sphaera.mpiwg-berlin.mpg.de/id/item/0128e2b3-f870-4744-a96e-53cdb06559a2,6
1550-1569,http://sphaera.mpiwg-berlin.mpg.de/id/item/097e1e7a-283f-44ae-8653-4abc785e1e21,6
1550-1569,http://sphaera.mpiwg-berlin.mpg.de/id/item/19e9f915-00f8-436d-a2c9-03a151ea6c88,6
1550-1569,http://sphaera.mpiwg-berlin.mpg.de/id/item/1bb35345-ede1-49b4-8eda-96d11581be92,6
1550-1569,http://sphaera.mpiwg-berlin.mpg.de/id/item/1fab0583-bfc4-4376-98b2-c510a6f3c565,6
1550-1569,http://sphaera.mpiwg-berlin.mpg.de/id/item/2467fa60-9fa2-45ae-a47c-23ba212309dc,6
1550-1569,http://sphaera.mpiwg-berlin.mpg.de/id/item/278ea564-8041-4fa5-98c2-0a3647d73d05,6
1550-1569,http://sphaera.mpiwg-berlin.mpg.de/id/item/3086ac45-0437-4325-81e7-87800ba30353,6
1550-1569,http://sphaera.mpiwg-berlin.mpg.de/id/item/3898ad1e-5e2c-4fab-995f-ad062bd38157,6
1550-1569,http://sphaera.mpiwg-berlin.mpg.de/id/item/3958724d-c071-4e0b-9cad-0c025e9631d8,6
1550-1569,http://sphaera.mpiwg-berlin.mpg.de/id/item/42479460-396c-48d8-a547-8f7438fbec84,6
1550-1569,http://sphaera.mpiwg-berlin.mpg.de/id/item/43aa7d64-36d4-46f3-bba7-b5fc02215a71,6
1550-1569,http://sphaera.mpiwg-berlin.mpg.de/id/item/4be046c0-52b0-41e2-9e27-5ba1f71dac19,6
1550-1569,http://sphaera.mpiwg-berlin.mpg.de/id/item/50901e9c-4a2a-4eb8-9908-1a04d83c7a23,6
1550-1569,http://sphaera.mpiwg-berlin.mpg.de/id/item/742573c4-c587-4c2d-a26f-f931faf026f2,6
1550-1569,http://sphaera.mpiwg-berlin.mpg.de/id/item/85c0a807-e1d3-4484-beb4-7917fb20fc04,6
1550-1569,http://sphaera.mpiwg-berlin.mpg.de/id/item/8d4fe115-efd8-424f-9ad4-bd49874418a2,6
1550-1569,http://sphaera.mpiwg-berlin.mpg.de/id/item/a1148505-b187-4f07-9a79-8f40827b797c,6
1550-1569,http://sphaera.mpiwg-berlin.mpg.de/id/item/bf7571ff-dfd8-4fc6-a910-557b281ff085,6
1550-1569,http://sphaera.mpiwg-berlin.mpg.de/id/item/c7dc9e23-0f0e-4ef6-b37e-d3372fd1bcef,6
1550-1569,http://sphaera.mpiwg-berlin.mpg.de/id/item/e7ac3010-a037-49fc-b0a0-1d7b3fe0a077,6
1550-1569,http://sphaera.mpiwg-berlin.mpg.de/id/item/9218cc28-fa96-444e-9eeb-235fea2d47b8,3
